Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200
2024-11-07 00:00:00+05:30,1297.1500244140625,1302.800048828125,1275.25,1278.699951171875,9909035,0.0,0.0,1265.6619921875,1150.2403594970704
2024-11-08 00:00:00+05:30,1270.0,1275.0,1252.699951171875,1258.8499755859375,11195808,0.0,0.0,1266.4009912109375,1151.5324221801757
2024-11-11 00:00:00+05:30,1262.0,1275.9000244140625,1246.6500244140625,1269.300048828125,8387780,0.0,0.0,1267.2029931640625,1153.0120703125
2024-11-12 00:00:00+05:30,1276.1500244140625,1295.0,1264.5,1270.5999755859375,13486168,0.0,0.0,1268.0159936523437,1154.475414428711
2024-11-13 00:00:00+05:30,1270.5999755859375,1276.25,1250.0,1253.699951171875,12260404,0.0,0.0,1268.1359936523438,1155.790556640625
2024-11-14 00:00:00+05:30,1253.75,1267.699951171875,1243.050048828125,1256.949951171875,9506892,0.0,0.0,1268.5479931640625,1156.9739724731446
2024-11-18 00:00:00+05:30,1260.0,1262.5999755859375,1249.4000244140625,1253.449951171875,6195554,0.0,0.0,1268.8979931640624,1158.2878646850586
2024-11-19 00:00:00+05:30,1257.050048828125,1261.0,1240.8499755859375,1249.0999755859375,11537317,0.0,0.0,1269.7169921875,1159.5267156982422
2024-11-21 00:00:00+05:30,1248.550048828125,1256.9000244140625,1232.550048828125,1250.550048828125,9593870,0.0,0.0,1270.0279931640625,1160.7408422851563
2024-11-22 00:00:00+05:30,1258.0,1281.4000244140625,1256.0,1278.050048828125,11604338,0.0,0.0,1270.8429931640626,1162.089990234375
2024-11-25 00:00:00+05:30,1296.0,1311.199951171875,1290.0,1300.949951171875,22717581,0.0,0.0,1272.1349926757812,1163.4978677368165
2024-11-26 00:00:00+05:30,1310.5999755859375,1314.25,1302.449951171875,1304.949951171875,7646955,0.0,0.0,1273.1909912109375,1164.9406173706054
2024-11-27 00:00:00+05:30,1298.5,1310.8499755859375,1297.8499755859375,1300.699951171875,21938082,0.0,0.0,1274.1979907226562,1166.367817993164
2024-11-28 00:00:00+05:30,1301.050048828125,1310.5,1282.300048828125,1286.3499755859375,22803745,0.0,0.0,1274.6679907226562,1167.7257473754883
2024-11-29 00:00:00+05:30,1283.0999755859375,1303.25,1283.0999755859375,1300.0999755859375,11397228,0.0,0.0,1275.3079907226563,1169.1380505371094
2024-12-02 00:00:00+05:30,1299.9000244140625,1310.550048828125,1289.1500244140625,1304.6500244140625,9626400,0.0,0.0,1275.6339916992188,1170.5941723632814
2024-12-03 00:00:00+05:30,1303.949951171875,1312.800048828125,1296.0999755859375,1308.4000244140625,11509276,0.0,0.0,1275.9619921875,1172.2318923950195
2024-12-04 00:00:00+05:30,1302.5999755859375,1320.0,1301.699951171875,1316.050048828125,11570281,0.0,0.0,1275.513994140625,1173.8017758178712
2024-12-05 00:00:00+05:30,1316.25,1342.9000244140625,1308.5999755859375,1336.5,19210697,0.0,0.0,1275.8059936523437,1175.5462860107423
2024-12-06 00:00:00+05:30,1342.5,1347.0999755859375,1326.699951171875,1328.75,8942672,0.0,0.0,1276.008994140625,1177.134557800293
2024-12-09 00:00:00+05:30,1322.0999755859375,1329.050048828125,1320.25,1322.300048828125,8000764,0.0,0.0,1275.9779956054688,1178.6762033081054
2024-12-10 00:00:00+05:30,1319.0,1332.0,1315.25,1330.449951171875,8218214,0.0,0.0,1276.0059936523437,1180.2885900878907
2024-12-11 00:00:00+05:30,1324.699951171875,1331.25,1316.0,1327.5,8138066,0.0,0.0,1276.423994140625,1181.8535089111328
